,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,z,0.1165,0.1172,0.1185,0.1202,0.1224,0.1250,0.1278,0.1307,0.1336,0.1365,0.1391,0.1414,0.1434,0.1449,0.1459,0.1465
1,0.05,1.67E-05,1.66E-05,1.64E-05,1.62E-05,1.60E-05,1.59E-05,1.56E-05,1.53E-05,1.50E-05,1.48E-05,1.46E-05,1.45E-05,1.43E-05,1.43E-05,1.42E-05,1.41E-05
2,0.15,1.68E-05,1.68E-05,1.67E-05,1.65E-05,1.63E-05,1.60E-05,1.58E-05,1.55E-05,1.53E-05,1.51E-05,1.49E-05,1.47E-05,1.46E-05,1.45E-05,1.44E-05,1.44E-05
3,0.25,1.70E-05,1.70E-05,1.69E-05,1.66E-05,1.64E-05,1.62E-05,1.60E-05,1.57E-05,1.54E-05,1.52E-05,1.50E-05,1.48E-05,1.47E-05,1.46E-05,1.45E-05,1.45E-05
4,0.35,1.71E-05,1.71E-05,1.70E-05,1.68E-05,1.65E-05,1.63E-05,1.60E-05,1.58E-05,1.56E-05,1.53E-05,1.51E-05,1.49E-05,1.48E-05,1.46E-05,1.46E-05,1.46E-05
5,0.45,1.72E-05,1.71E-05,1.71E-05,1.68E-05,1.67E-05,1.64E-05,1.61E-05,1.58E-05,1.57E-05,1.54E-05,1.52E-05,1.50E-05,1.49E-05,1.47E-05,1.47E-05,1.46E-05
6,0.55,1.74E-05,1.73E-05,1.71E-05,1.69E-05,1.67E-05,1.64E-05,1.62E-05,1.59E-05,1.56E-05,1.55E-05,1.52E-05,1.52E-05,1.49E-05,1.48E-05,1.48E-05,1.48E-05
7,0.65,1.74E-05,1.74E-05,1.73E-05,1.71E-05,1.69E-05,1.65E-05,1.63E-05,1.60E-05,1.58E-05,1.56E-05,1.53E-05,1.51E-05,1.50E-05,1.49E-05,1.48E-05,1.48E-05
8,0.75,1.76E-05,1.76E-05,1.74E-05,1.72E-05,1.70E-05,1.67E-05,1.64E-05,1.61E-05,1.59E-05,1.57E-05,1.54E-05,1.52E-05,1.51E-05,1.50E-05,1.49E-05,1.49E-05
9,0.85,1.77E-05,1.76E-05,1.75E-05,1.73E-05,1.70E-05,1.67E-05,1.65E-05,1.62E-05,1.60E-05,1.57E-05,1.55E-05,1.53E-05,1.51E-05,1.50E-05,1.50E-05,1.50E-05
10,0.95,1.77E-05,1.77E-05,1.76E-05,1.73E-05,1.71E-05,1.68E-05,1.65E-05,1.63E-05,1.60E-05,1.58E-05,1.56E-05,1.54E-05,1.52E-05,1.52E-05,1.51E-05,1.50E-05
11,1.05,1.79E-05,1.78E-05,1.76E-05,1.75E-05,1.72E-05,1.69E-05,1.66E-05,1.63E-05,1.61E-05,1.58E-05,1.56E-05,1.55E-05,1.53E-05,1.52E-05,1.51E-05,1.50E-05
12,1.15,1.80E-05,1.79E-05,1.78E-05,1.75E-05,1.73E-05,1.70E-05,1.67E-05,1.65E-05,1.63E-05,1.60E-05,1.57E-05,1.56E-05,1.53E-05,1.53E-05,1.51E-05,1.51E-05
13,1.25,1.80E-05,1.80E-05,1.78E-05,1.76E-05,1.74E-05,1.70E-05,1.68E-05,1.65E-05,1.63E-05,1.60E-05,1.58E-05,1.56E-05,1.54E-05,1.53E-05,1.52E-05,1.52E-05
14,1.35,1.82E-05,1.81E-05,1.79E-05,1.77E-05,1.74E-05,1.71E-05,1.69E-05,1.65E-05,1.63E-05,1.61E-05,1.59E-05,1.57E-05,1.55E-05,1.54E-05,1.53E-05,1.52E-05
15,1.45,1.83E-05,1.82E-05,1.80E-05,1.78E-05,1.75E-05,1.73E-05,1.69E-05,1.66E-05,1.64E-05,1.62E-05,1.60E-05,1.58E-05,1.56E-05,1.54E-05,1.53E-05,1.53E-05
16,1.55,1.83E-05,1.82E-05,1.81E-05,1.78E-05,1.76E-05,1.74E-05,1.71E-05,1.67E-05,1.65E-05,1.62E-05,1.60E-05,1.58E-05,1.56E-05,1.55E-05,1.54E-05,1.54E-05
