,eZero,peakDose,rMax
0,50.0,0.07487018586820947,2.2
1,51.0,0.07382481117697406,2.2
2,52.0,0.07579315024584878,2.3
3,53.0,0.07632792920814753,2.4
4,54.0,0.0746952174619625,2.5
5,55.0,0.07081901185125074,2.6
6,56.0,0.06921426194339148,2.6
7,57.0,0.07013554085572202,2.7
8,58.0,0.07054707215859471,2.8
9,59.0,0.07035073161805512,2.9
10,60.0,0.06956281270524872,3.0
11,61.0,0.06829331722290284,3.1
12,62.0,0.06670279266109001,3.2
13,63.0,0.06496010241692438,3.3
14,64.0,0.06321352401361194,3.4
15,65.0,0.0629981885947167,3.4
16,66.0,0.06276646630746861,3.5
17,67.0,0.062423433060255384,3.6
18,68.0,0.061988996735639616,3.7
19,69.0,0.06148202997032684,3.8
20,70.0,0.06091828334254647,3.9
21,71.0,0.06030945903078122,4.0
22,72.0,0.05966320309588365,4.1
23,73.0,0.058983713693564935,4.2
24,74.0,0.058272684210905486,4.3
25,75.0,0.05753035542041179,4.4
26,76.0,0.05675651139433599,4.5
27,77.0,0.05643711402172477,4.7
28,78.0,0.0563812148799881,4.8
29,79.0,0.05622029627256734,4.9
30,80.0,0.05593652075645149,5.0
31,81.0,0.05552056773791076,5.1
32,82.0,0.05497160979849388,5.2
33,83.0,0.05429664759297672,5.3
34,84.0,0.053509264089210605,5.4
35,85.0,0.052627939161385695,5.5
36,86.0,0.052595632043278884,5.7
37,87.0,0.05252647835581205,5.8
38,88.0,0.05216652774459976,5.9
39,89.0,0.0515626318361452,6.0
40,90.0,0.050766974013737094,6.1
41,91.0,0.05040499196397862,6.3
42,92.0,0.050399367256247635,6.4
43,93.0,0.05001974885086126,6.5
44,94.0,0.04934925369903578,6.6
45,95.0,0.04876682135976179,6.8
46,96.0,0.04882131004306314,6.9
47,97.0,0.04844427139457444,7.0
48,98.0,0.047745366775128584,7.1
49,99.0,0.0475634719129398,7.3
50,100.0,0.047393837590423205,7.4
51,101.0,0.046821616208735234,7.5
52,102.0,0.046456454151774115,7.7
53,103.0,0.046356008851922696,7.8
54,104.0,0.04581631690512056,7.9
55,105.0,0.04552813692555534,8.1
56,106.0,0.04535970905179498,8.2
57,107.0,0.044760625201708246,8.3
58,108.0,0.044692705331378736,8.5
59,109.0,0.044353738681028966,8.6
60,110.0,0.04391631929501071,8.8
61,111.0,0.04382436883017553,8.9
62,112.0,0.0432644467172491,9.0
63,113.0,0.043235565459328384,9.2
64,114.0,0.04281539309678411,9.3
65,115.0,0.04263697645333576,9.5
66,116.0,0.04232211408680712,9.6
67,117.0,0.04206070798125379,9.8
68,118.0,0.04180950460991526,9.9
69,119.0,0.04152177545599635,10.1
70,120.0,0.04129116801982766,10.2
71,121.0,0.04102102470002637,10.4
72,122.0,0.04077093147102339,10.5
73,123.0,0.04054902452623492,10.7
74,124.0,0.040245463310258855,10.8
75,125.0,0.04009006846781497,11.0
76,126.0,0.03970721151437454,11.1
77,127.0,0.03962585155205382,11.3
78,128.0,0.039268688906488804,11.5
79,129.0,0.039138608494248966,11.6
80,130.0,0.03891069912759953,11.8
81,131.0,0.038613587759739915,11.9
82,132.0,0.038499077328542,12.1
83,133.0,0.03820016567157104,12.3
84,134.0,0.03801956761142434,12.4
85,135.0,0.03785645484576792,12.6
86,136.0,0.03754660488212817,12.8
87,137.0,0.03740907264664756,12.9
88,138.0,0.037240536298533855,13.1
89,139.0,0.036959791539372636,13.3
90,140.0,0.03679733429086405,13.4
91,141.0,0.036650174636539065,13.6
92,142.0,0.03641981277030621,13.8
93,143.0,0.03617856410858941,13.9
94,144.0,0.036064946098166115,14.1
95,145.0,0.03589113225628926,14.3
96,146.0,0.035660996954328936,14.5
97,147.0,0.03545694419774955,14.6
98,148.0,0.035335042963816045,14.8
99,149.0,0.03517345478221727,15.0
100,150.0,0.034976098976462984,15.2
101,151.0,0.034747501208004454,15.4
102,152.0,0.034610345338558834,15.5
103,153.0,0.034476241851940335,15.7
104,154.0,0.03432019806064631,15.9
105,155.0,0.03414554112327387,16.1
106,156.0,0.03395568143011585,16.3
107,157.0,0.03375400533966624,16.5
108,158.0,0.033629022142369916,16.6
109,159.0,0.033496066504236685,16.8
110,160.0,0.033353883621861195,17.0
111,161.0,0.03320456589830054,17.2
112,162.0,0.033050078002784186,17.4
113,163.0,0.03289222470642574,17.6
114,164.0,0.03273262818554894,17.8
115,165.0,0.03257271371616225,18.0
116,166.0,0.032413702575485294,18.2
117,167.0,0.03225661095525106,18.4
118,168.0,0.03212124616754778,18.5
